"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate	Crude Rate Standard Error
	"Arizona"	"04"	"2016"	"2016"	"1-4 years"	"1-4"	18	332489	Unreliable	1.3
	"Arizona"	"04"	"2016"	"2016"	"5-14 years"	"5-14"	16	861486	Unreliable	0.5
	"Arizona"	"04"	"2016"	"2016"	"15-24 years"	"15-24"	152	904465	16.8	1.4
	"Arizona"	"04"	"2016"	"2016"	"25-34 years"	"25-34"	136	892270	15.2	1.3
	"Arizona"	"04"	"2016"	"2016"	"35-44 years"	"35-44"	118	808963	14.6	1.3
	"Arizona"	"04"	"2016"	"2016"	"45-54 years"	"45-54"	150	806821	18.6	1.5
	"Arizona"	"04"	"2016"	"2016"	"55-64 years"	"55-64"	149	786084	19.0	1.6
	"Arizona"	"04"	"2016"	"2016"	"65-74 years"	"65-74"	91	644366	14.1	1.5
	"Arizona"	"04"	"2016"	"2016"	"75-84 years"	"75-84"	60	330737	18.1	2.3
	"Arizona"	"04"	"2016"	"2016"	"85+ years"	"85+"	31	130210	23.8	4.3
	"Arkansas"	"05"	"2009"	"2009"	"5-14 years"	"5-14"	10	240530	Unreliable	1.3
	"Arkansas"	"05"	"2009"	"2009"	"15-24 years"	"15-24"	59	247053	23.9	3.1
	"Arkansas"	"05"	"2009"	"2009"	"25-34 years"	"25-34"	66	243539	27.1	3.3
	"Arkansas"	"05"	"2009"	"2009"	"35-44 years"	"35-44"	45	228641	19.7	2.9
	"Arkansas"	"05"	"2009"	"2009"	"45-54 years"	"45-54"	47	239132	19.7	2.9
	"Arkansas"	"05"	"2009"	"2009"	"55-64 years"	"55-64"	37	194126	19.1	3.1
	"Arkansas"	"05"	"2009"	"2009"	"65-74 years"	"65-74"	24	121687	19.7	4.0
	"Arkansas"	"05"	"2009"	"2009"	"75-84 years"	"75-84"	22	69420	31.7	6.8
	"Arkansas"	"05"	"2010"	"2010"	"5-14 years"	"5-14"	10	243820	Unreliable	1.3
	"Arkansas"	"05"	"2010"	"2010"	"15-24 years"	"15-24"	71	249732	28.4	3.4
	"Arkansas"	"05"	"2010"	"2010"	"25-34 years"	"25-34"	66	245104	26.9	3.3
	"Arkansas"	"05"	"2010"	"2010"	"35-44 years"	"35-44"	38	227991	16.7	2.7
	"Arkansas"	"05"	"2010"	"2010"	"45-54 years"	"45-54"	53	240651	22.0	3.0
	"Arkansas"	"05"	"2010"	"2010"	"55-64 years"	"55-64"	41	199400	20.6	3.2
	"Arkansas"	"05"	"2010"	"2010"	"65-74 years"	"65-74"	15	124212	Unreliable	3.1
	"Arkansas"	"05"	"2010"	"2010"	"75-84 years"	"75-84"	20	70135	28.5	6.4
	"Arkansas"	"05"	"2011"	"2011"	"5-14 years"	"5-14"	13	246767	Unreliable	1.5
	"Arkansas"	"05"	"2011"	"2011"	"15-24 years"	"15-24"	44	249538	17.6	2.7
	"Arkansas"	"05"	"2011"	"2011"	"25-34 years"	"25-34"	68	250701	27.1	3.3
	"Arkansas"	"05"	"2011"	"2011"	"35-44 years"	"35-44"	45	228549	19.7	2.9
	"Arkansas"	"05"	"2011"	"2011"	"45-54 years"	"45-54"	40	239893	16.7	2.6
	"Arkansas"	"05"	"2011"	"2011"	"55-64 years"	"55-64"	45	208729	21.6	3.2
	"Arkansas"	"05"	"2011"	"2011"	"65-74 years"	"65-74"	22	128290	17.1	3.7
	"Arkansas"	"05"	"2011"	"2011"	"75-84 years"	"75-84"	21	71137	29.5	6.4
	"Arkansas"	"05"	"2012"	"2012"	"5-14 years"	"5-14"	16	249473	Unreliable	1.6
	"Arkansas"	"05"	"2012"	"2012"	"15-24 years"	"15-24"	55	250471	22.0	3.0
	"Arkansas"	"05"	"2012"	"2012"	"25-34 years"	"25-34"	45	253511	17.8	2.6
	"Arkansas"	"05"	"2012"	"2012"	"35-44 years"	"35-44"	32	229991	13.9	2.5
	"Arkansas"	"05"	"2012"	"2012"	"45-54 years"	"45-54"	50	237239	21.1	3.0
	"Arkansas"	"05"	"2012"	"2012"	"55-64 years"	"55-64"	36	210168	17.1	2.9
	"Arkansas"	"05"	"2012"	"2012"	"65-74 years"	"65-74"	23	136734	16.8	3.5
	"Arkansas"	"05"	"2012"	"2012"	"75-84 years"	"75-84"	18	71466	Unreliable	5.9
	"Arkansas"	"05"	"2013"	"2013"	"15-24 years"	"15-24"	52	254597	20.4	2.8
	"Arkansas"	"05"	"2013"	"2013"	"25-34 years"	"25-34"	69	253680	27.2	3.3
	"Arkansas"	"05"	"2013"	"2013"	"35-44 years"	"35-44"	41	231832	17.7	2.8
	"Arkansas"	"05"	"2013"	"2013"	"45-54 years"	"45-54"	40	235246	17.0	2.7
	"Arkansas"	"05"	"2013"	"2013"	"55-64 years"	"55-64"	26	212742	12.2	2.4
	"Arkansas"	"05"	"2013"	"2013"	"65-74 years"	"65-74"	14	143084	Unreliable	2.6
	"Arkansas"	"05"	"2013"	"2013"	"75-84 years"	"75-84"	25	73188	34.2	6.8
	"Arkansas"	"05"	"2014"	"2014"	"15-24 years"	"15-24"	48	255136	18.8	2.7
	"Arkansas"	"05"	"2014"	"2014"	"25-34 years"	"25-34"	54	256213	21.1	2.9
	"Arkansas"	"05"	"2014"	"2014"	"35-44 years"	"35-44"	50	233356	21.4	3.0
	"Arkansas"	"05"	"2014"	"2014"	"45-54 years"	"45-54"	43	233625	18.4	2.8
	"Arkansas"	"05"	"2014"	"2014"	"55-64 years"	"55-64"	36	215563	16.7	2.8
	"Arkansas"	"05"	"2014"	"2014"	"65-74 years"	"65-74"	25	148898	16.8	3.4
	"Arkansas"	"05"	"2014"	"2014"	"75-84 years"	"75-84"	21	74888	28.0	6.1
	"Arkansas"	"05"	"2015"	"2015"	"15-24 years"	"15-24"	62	255145	24.3	3.1
	"Arkansas"	"05"	"2015"	"2015"	"25-34 years"	"25-34"	46	258688	17.8	2.6
	"Arkansas"	"05"	"2015"	"2015"	"35-44 years"	"35-44"	43	235511	18.3	2.8
	"Arkansas"	"05"	"2015"	"2015"	"45-54 years"	"45-54"	47	233289	20.1	2.9
	"Arkansas"	"05"	"2015"	"2015"	"55-64 years"	"55-64"	40	219691	18.2	2.9
	"Arkansas"	"05"	"2015"	"2015"	"65-74 years"	"65-74"	26	154555	16.8	3.3
	"Arkansas"	"05"	"2015"	"2015"	"75-84 years"	"75-84"	13	76868	Unreliable	4.7
	"Arkansas"	"05"	"2016"	"2016"	"15-24 years"	"15-24"	54	256375	21.1	2.9
	"Arkansas"	"05"	"2016"	"2016"	"25-34 years"	"25-34"	69	261339	26.4	3.2
	"Arkansas"	"05"	"2016"	"2016"	"35-44 years"	"35-44"	50	236078	21.2	3.0
	"Arkansas"	"05"	"2016"	"2016"	"45-54 years"	"45-54"	54	232716	23.2	3.2
	"Arkansas"	"05"	"2016"	"2016"	"55-64 years"	"55-64"	57	222775	25.6	3.4
	"Arkansas"	"05"	"2016"	"2016"	"65-74 years"	"65-74"	26	159378	16.3	3.2
	"Arkansas"	"05"	"2016"	"2016"	"75-84 years"	"75-84"	25	79008	31.6	6.3
	"Arkansas"	"05"	"2016"	"2016"	"85+ years"	"85+"	15	30843	Unreliable	12.6
	"California"	"06"	"2009"	"2009"	"< 1 year"	"1"	14	489614	Unreliable	0.8
	"California"	"06"	"2009"	"2009"	"1-4 years"	"1-4"	63	2008523	3.1	0.4
	"California"	"06"	"2009"	"2009"	"5-14 years"	"5-14"	112	4975454	2.3	0.2
	"California"	"06"	"2009"	"2009"	"15-24 years"	"15-24"	713	5454104	13.1	0.5
	"California"	"06"	"2009"	"2009"	"25-34 years"	"25-34"	566	5183149	10.9	0.5
	"California"	"06"	"2009"	"2009"	"35-44 years"	"35-44"	437	5117071	8.5	0.4
	"California"	"06"	"2009"	"2009"	"45-54 years"	"45-54"	551	5089696	10.8	0.5
	"California"	"06"	"2009"	"2009"	"55-64 years"	"55-64"	389	3774157	10.3	0.5
	"California"	"06"	"2009"	"2009"	"65-74 years"	"65-74"	228	2138368	10.7	0.7
	"California"	"06"	"2009"	"2009"	"75-84 years"	"75-84"	208	1320020	15.8	1.1
	"California"	"06"	"2009"	"2009"	"85+ years"	"85+"	112	567046	19.8	1.9
	"California"	"06"	"2010"	"2010"	"1-4 years"	"1-4"	39	2000179	1.9	0.3
	"California"	"06"	"2010"	"2010"	"5-14 years"	"5-14"	66	5000484	1.3	0.2
	"California"	"06"	"2010"	"2010"	"15-24 years"	"15-24"	583	5485481	10.6	0.4
	"California"	"06"	"2010"	"2010"	"25-34 years"	"25-34"	502	5219386	9.6	0.4
	"California"	"06"	"2010"	"2010"	"35-44 years"	"35-44"	394	5086900	7.7	0.4
	"California"	"06"	"2010"	"2010"	"45-54 years"	"45-54"	470	5123554	9.2	0.4
	"California"	"06"	"2010"	"2010"	"55-64 years"	"55-64"	409	3902531	10.5	0.5
	"California"	"06"	"2010"	"2010"	"65-74 years"	"65-74"	223	2195482	10.2	0.7
	"California"	"06"	"2010"	"2010"	"75-84 years"	"75-84"	192	1326847	14.5	1.0
	"California"	"06"	"2010"	"2010"	"85+ years"	"85+"	115	582794	19.7	1.8
	"California"	"06"	"2011"	"2011"	"1-4 years"	"1-4"	34	1996112	1.7	0.3
	"California"	"06"	"2011"	"2011"	"5-14 years"	"5-14"	76	4996672	1.5	0.2
	"California"	"06"	"2011"	"2011"	"15-24 years"	"15-24"	630	5512224	11.4	0.5
	"California"	"06"	"2011"	"2011"	"25-34 years"	"25-34"	502	5313732	9.4	0.4
	"California"	"06"	"2011"	"2011"	"35-44 years"	"35-44"	414	5070321	8.2	0.4
	"California"	"06"	"2011"	"2011"	"45-54 years"	"45-54"	497	5127201	9.7	0.4
	"California"	"06"	"2011"	"2011"	"55-64 years"	"55-64"	390	4082869	9.6	0.5
	"California"	"06"	"2011"	"2011"	"65-74 years"	"65-74"	255	2294138	11.1	0.7
	"California"	"06"	"2011"	"2011"	"75-84 years"	"75-84"	188	1344382	14.0	1.0
	"California"	"06"	"2011"	"2011"	"85+ years"	"85+"	106	614643	17.2	1.7
	"California"	"06"	"2012"	"2012"	"1-4 years"	"1-4"	52	1995367	2.6	0.4
	"California"	"06"	"2012"	"2012"	"5-14 years"	"5-14"	78	4992810	1.6	0.2
	"California"	"06"	"2012"	"2012"	"15-24 years"	"15-24"	618	5530510	11.2	0.4
	"California"	"06"	"2012"	"2012"	"25-34 years"	"25-34"	578	5385102	10.7	0.4
	"California"	"06"	"2012"	"2012"	"35-44 years"	"35-44"	391	5068915	7.7	0.4
	"California"	"06"	"2012"	"2012"	"45-54 years"	"45-54"	517	5114359	10.1	0.4
	"California"	"06"	"2012"	"2012"	"55-64 years"	"55-64"	434	4168283	10.4	0.5
	"California"	"06"	"2012"	"2012"	"65-74 years"	"65-74"	240	2449889	9.8	0.6
	"California"	"06"	"2012"	"2012"	"75-84 years"	"75-84"	201	1362940	14.7	1.0
	"California"	"06"	"2012"	"2012"	"85+ years"	"85+"	95	634914	15.0	1.5
	"California"	"06"	"2013"	"2013"	"1-4 years"	"1-4"	37	1971892	1.9	0.3
	"California"	"06"	"2013"	"2013"	"5-14 years"	"5-14"	87	4998136	1.7	0.2
	"California"	"06"	"2013"	"2013"	"15-24 years"	"15-24"	689	5484430	12.6	0.5
	"California"	"06"	"2013"	"2013"	"25-34 years"	"25-34"	604	5494800	11.0	0.4
